TRAIN 0: PRED: yellow | SIT: ^ sm1(x1) gr1(x1) tr1(x1) le2(x1,x2) sm1(x2) bl1(x2) st1(x2) ! | FEEDBACK: the green triangle to the left of the blue star !
VALIDATION 2600: PRED: the medium hexagon below the medium circle| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) gr1(x2) he1(x2) !
VALIDATION 2700: PRED: the small star above the medium square| SIT: ^ sm1(x1) or1(x1) st1(x1) ab2(x1,x2) bi1(x2) or1(x2) sq1(x2) !
VALIDATION 2800: PRED: the medium square to the right of the medium ellipse| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) sq1(x2) !
VALIDATION 2900: PRED: the big circle to the right of the big circle| SIT: ^ bi1(x1) bl1(x1) ci1(x1) ab2(x1,x2) sm1(x2) bl1(x2) ci1(x2) !
VALIDATION 3000: PRED: the big star below the big triangle| SIT: ^ bi1(x1) re1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 3100: PRED: the big star below the big triangle| SIT: ^ bi1(x1) pu1(x1) tr1(x1) le2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 3200: PRED: the big hexagon above the ellipse| SIT: ^ bi1(x1) bl1(x1) he1(x1) le2(x1,x2) me1(x2) bl1(x2) el1(x2) !
VALIDATION 3300: PRED: the circle above the medium star| SIT: ^ sm1(x1) ye1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 3400: PRED: the big star to the right of the small hexagon| SIT: ^ sm1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 3500: PRED: the medium hexagon to the right of the medium ellipse| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) he1(x2) !
VALIDATION 3600: PRED: the triangle above the medium square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3700: PRED: the medium ellipse above the circle| SIT: ^ me1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) ye1(x2) ci1(x2) !
VALIDATION 3800: PRED: the small star above the medium square| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3900: PRED: the medium hexagon above the circle| SIT: ^ me1(x1) pu1(x1) he1(x1) le2(x1,x2) bi1(x2) re1(x2) ci1(x2) !
VALIDATION 4000: PRED: the triangle above the medium square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) sq1(x2) !
VALIDATION 4100: PRED: the big ellipse above the circle| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) bl1(x2) ci1(x2) !
VALIDATION 4200: PRED: the medium hexagon to the right of the medium ellipse| SIT: ^ me1(x1) gr1(x1) el1(x1) ab2(x1,x2) bi1(x2) or1(x2) he1(x2) !
VALIDATION 4300: PRED: the big star to the right of the small hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 4400: PRED: the medium circle above the medium star| SIT: ^ me1(x1) re1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 4500: PRED: the big circle to the right of the big circle| SIT: ^ bi1(x1) re1(x1) ci1(x1) le2(x1,x2) sm1(x2) ye1(x2) ci1(x2) !
VALIDATION 4600: PRED: the medium triangle to the right of the medium ellipse| SIT: ^ me1(x1) gr1(x1) el1(x1) le2(x1,x2) sm1(x2) or1(x2) tr1(x2) !
VALIDATION 4700: PRED: the circle to the right of the small circle| SIT: ^ sm1(x1) bl1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 4800: PRED: the small ellipse to the left of the medium square| SIT: ^ sm1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) sq1(x2) !
VALIDATION 4900: PRED: the small star above the ellipse| SIT: ^ sm1(x1) bl1(x1) st1(x1) le2(x1,x2) sm1(x2) or1(x2) el1(x2) !
TRAIN 9600: PRED: the star above the left of the big star star | SIT: ^ bi1(x1) re1(x1) st1(x1) le2(x1,x2) sm1(x2) bl1(x2) st1(x2) ! | FEEDBACK: the star to the right of the big red star !
TRAIN 9700: PRED: the big to | SIT: ^ bi1(x1) gr1(x1) sq1(x1) ab2(x1,x2) me1(x2) bl1(x2) tr1(x2) ! | FEEDBACK: the square !
TRAIN 9800: PRED: the square ellipse square to the square square square | SIT: ^ sm1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) sq1(x2) ! | FEEDBACK: the small purple ellipse above the small yellow square !
TRAIN 9900: PRED: the medium to the right of the medium circle | SIT: ^ me1(x1) re1(x1) ci1(x1) le2(x1,x2) bi1(x2) or1(x2) he1(x2) ! | FEEDBACK: the hexagon to the right of the red circle !
TRAIN 10000: PRED: the medium below the medium ellipse | SIT: ^ me1(x1) ye1(x1) el1(x1) ab2(x1,x2) sm1(x2) gr1(x2) sq1(x2) ! | FEEDBACK: the square below the yellow ellipse !
VALIDATION 0: PRED: the big ellipse above the hexagon| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) sm1(x2) bl1(x2) he1(x2) !
VALIDATION 100: PRED: the small square above the circle| SIT: ^ sm1(x1) re1(x1) sq1(x1) le2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 200: PRED: the small star below the small square| SIT: ^ sm1(x1) or1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 300: PRED: the small triangle above the circle| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) sm1(x2) or1(x2) ci1(x2) !
VALIDATION 400: PRED: the hexagon below the medium star| SIT: ^ me1(x1) gr1(x1) st1(x1) ab2(x1,x2) me1(x2) pu1(x2) he1(x2) !
VALIDATION 500: PRED: the big ellipse above the circle| SIT: ^ bi1(x1) gr1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 600: PRED: the big ellipse above the circle| SIT: ^ bi1(x1) bl1(x1) el1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 700: PRED: the small star above the hexagon| SIT: ^ sm1(x1) re1(x1) st1(x1) le2(x1,x2) me1(x2) or1(x2) he1(x2) !
VALIDATION 800: PRED: the hexagon above the circle| SIT: ^ bi1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) bl1(x2) ci1(x2) !
VALIDATION 900: PRED: the big ellipse below the big square| SIT: ^ bi1(x1) pu1(x1) sq1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1000: PRED: the hexagon above the ellipse| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1100: PRED: the hexagon below the medium square| SIT: ^ me1(x1) bl1(x1) sq1(x1) ab2(x1,x2) bi1(x2) ye1(x2) he1(x2) !
VALIDATION 1200: PRED: the big ellipse below the big circle| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) ye1(x2) el1(x2) !
VALIDATION 1300: PRED: the hexagon above the star| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 1400: PRED: the big star above the ellipse| SIT: ^ bi1(x1) or1(x1) st1(x1) le2(x1,x2) bi1(x2) gr1(x2) el1(x2) !
VALIDATION 1500: PRED: the big ellipse below the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 1600: PRED: the small star above the ellipse| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) me1(x2) re1(x2) el1(x2) !
VALIDATION 1700: PRED: the medium star below the medium circle| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) pu1(x2) st1(x2) !
VALIDATION 1800: PRED: the big ellipse below the big circle| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) re1(x2) el1(x2) !
VALIDATION 1900: PRED: the medium star above the ellipse| SIT: ^ me1(x1) re1(x1) st1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 2000: PRED: the hexagon to the right of the hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) me1(x2) gr1(x2) he1(x2) !
VALIDATION 2100: PRED: the small ellipse above the circle| SIT: ^ sm1(x1) bl1(x1) el1(x1) le2(x1,x2) me1(x2) or1(x2) ci1(x2) !
VALIDATION 2200: PRED: the hexagon above the circle| SIT: ^ me1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 2300: PRED: the small square above the circle| SIT: ^ sm1(x1) re1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) ci1(x2) !
VALIDATION 2400: PRED: the big triangle below the big circle| SIT: ^ bi1(x1) pu1(x1) ci1(x1) le2(x1,x2) sm1(x2) gr1(x2) tr1(x2) !
VALIDATION 2500: PRED: the hexagon above the small square| SIT: ^ sm1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) ye1(x2) sq1(x2) !
VALIDATION 2600: PRED: the hexagon| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) gr1(x2) he1(x2) !
VALIDATION 2700: PRED: the small star above the small square| SIT: ^ sm1(x1) or1(x1) st1(x1) ab2(x1,x2) bi1(x2) or1(x2) sq1(x2) !
VALIDATION 2800: PRED: the medium ellipse above the square| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) sq1(x2) !
VALIDATION 2900: PRED: the big circle below the big circle| SIT: ^ bi1(x1) bl1(x1) ci1(x1) ab2(x1,x2) sm1(x2) bl1(x2) ci1(x2) !
VALIDATION 3000: PRED: the big star| SIT: ^ bi1(x1) re1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 3100: PRED: the big star| SIT: ^ bi1(x1) pu1(x1) tr1(x1) le2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 3200: PRED: the hexagon above the ellipse| SIT: ^ bi1(x1) bl1(x1) he1(x1) le2(x1,x2) me1(x2) bl1(x2) el1(x2) !
VALIDATION 3300: PRED: the small star below the small circle| SIT: ^ sm1(x1) ye1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 3400: PRED: the hexagon above the star| SIT: ^ sm1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 3500: PRED: the medium ellipse above the hexagon| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) he1(x2) !
VALIDATION 3600: PRED: the small triangle above the small square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3700: PRED: the medium ellipse above the circle| SIT: ^ me1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) ye1(x2) ci1(x2) !
VALIDATION 3800: PRED: the small star above the small square| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3900: PRED: the hexagon above the circle| SIT: ^ me1(x1) pu1(x1) he1(x1) le2(x1,x2) bi1(x2) re1(x2) ci1(x2) !
VALIDATION 4000: PRED: the small triangle above the small square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) sq1(x2) !
VALIDATION 4100: PRED: the big ellipse above the circle| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) bl1(x2) ci1(x2) !
VALIDATION 4200: PRED: the medium ellipse above the hexagon| SIT: ^ me1(x1) gr1(x1) el1(x1) ab2(x1,x2) bi1(x2) or1(x2) he1(x2) !
VALIDATION 4300: PRED: the hexagon above the star| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 4400: PRED: the medium star below the medium circle| SIT: ^ me1(x1) re1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 4500: PRED: the big circle below the big circle| SIT: ^ bi1(x1) re1(x1) ci1(x1) le2(x1,x2) sm1(x2) ye1(x2) ci1(x2) !
VALIDATION 4600: PRED: the medium triangle below the medium ellipse| SIT: ^ me1(x1) gr1(x1) el1(x1) le2(x1,x2) sm1(x2) or1(x2) tr1(x2) !
VALIDATION 4700: PRED: the small circle below the small circle| SIT: ^ sm1(x1) bl1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 4800: PRED: the small ellipse above the small square| SIT: ^ sm1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) sq1(x2) !
VALIDATION 4900: PRED: the small star above the ellipse| SIT: ^ sm1(x1) bl1(x1) st1(x1) le2(x1,x2) sm1(x2) or1(x2) el1(x2) !
TRAIN 10100: PRED: the small ellipse circle to the small ellipse ellipse | SIT: ^ sm1(x1) ye1(x1) el1(x1) ab2(x1,x2) me1(x2) pu1(x2) ci1(x2) ! | FEEDBACK: the medium purple circle below the small yellow ellipse !
TRAIN 10200: PRED: the small triangle triangle | SIT: ^ sm1(x1) re1(x1) ci1(x1) ab2(x1,x2) me1(x2) bl1(x2) tr1(x2) ! | FEEDBACK: the small red circle above the medium triangle !
TRAIN 10300: PRED: the medium to the medium star | SIT: ^ me1(x1) bl1(x1) st1(x1) ab2(x1,x2) sm1(x2) pu1(x2) sq1(x2) ! | FEEDBACK: the square below the blue star !
TRAIN 10400: PRED: the small square above | SIT: ^ sm1(x1) gr1(x1) he1(x1) le2(x1,x2) bi1(x2) ye1(x2) sq1(x2) ! | FEEDBACK: the green hexagon !
TRAIN 10500: PRED: the square square to the left of the small square | SIT: ^ me1(x1) re1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) sq1(x2) ! | FEEDBACK: the red ellipse to the left of the medium square !
VALIDATION 0: PRED: the big hexagon to the right of the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) sm1(x2) bl1(x2) he1(x2) !
VALIDATION 100: PRED: the small square to the left of the circle| SIT: ^ sm1(x1) re1(x1) sq1(x1) le2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 200: PRED: the small square to the left of the medium star| SIT: ^ sm1(x1) or1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 300: PRED: the small triangle to the left of the circle| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) sm1(x2) or1(x2) ci1(x2) !
VALIDATION 400: PRED: the medium star to the left of the small hexagon| SIT: ^ me1(x1) gr1(x1) st1(x1) ab2(x1,x2) me1(x2) pu1(x2) he1(x2) !
VALIDATION 500: PRED: the big circle below the big ellipse| SIT: ^ bi1(x1) gr1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 600: PRED: the big circle below the big ellipse| SIT: ^ bi1(x1) bl1(x1) el1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 700: PRED: the small star to the left of the medium hexagon| SIT: ^ sm1(x1) re1(x1) st1(x1) le2(x1,x2) me1(x2) or1(x2) he1(x2) !
VALIDATION 800: PRED: the big circle to the right of the big hexagon| SIT: ^ bi1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) bl1(x2) ci1(x2) !
VALIDATION 900: PRED: the big square to the left of the ellipse| SIT: ^ bi1(x1) pu1(x1) sq1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1000: PRED: the big hexagon above the ellipse| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1100: PRED: the medium square to the left of the small hexagon| SIT: ^ me1(x1) bl1(x1) sq1(x1) ab2(x1,x2) bi1(x2) ye1(x2) he1(x2) !
VALIDATION 1200: PRED: the big circle to the left of the ellipse| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) ye1(x2) el1(x2) !
VALIDATION 1300: PRED: the big star to the right of the big hexagon| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 1400: PRED: the big star to the left of the ellipse| SIT: ^ bi1(x1) or1(x1) st1(x1) le2(x1,x2) bi1(x2) gr1(x2) el1(x2) !
VALIDATION 1500: PRED: the big ellipse to the right of the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 1600: PRED: the small star to the left of the ellipse| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) me1(x2) re1(x2) el1(x2) !
VALIDATION 1700: PRED: the star to the right of the medium circle| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) pu1(x2) st1(x2) !
VALIDATION 1800: PRED: the big circle to the left of the ellipse| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) re1(x2) el1(x2) !
VALIDATION 1900: PRED: the medium star to the left of the ellipse| SIT: ^ me1(x1) re1(x1) st1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 2000: PRED: the small hexagon to the left of the small hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) me1(x2) gr1(x2) he1(x2) !
VALIDATION 2100: PRED: the small circle below the small ellipse| SIT: ^ sm1(x1) bl1(x1) el1(x1) le2(x1,x2) me1(x2) or1(x2) ci1(x2) !
VALIDATION 2200: PRED: the medium circle to the left of the circle| SIT: ^ me1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 2300: PRED: the small square to the left of the circle| SIT: ^ sm1(x1) re1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) ci1(x2) !
VALIDATION 2400: PRED: the big triangle below the big circle| SIT: ^ bi1(x1) pu1(x1) ci1(x1) le2(x1,x2) sm1(x2) gr1(x2) tr1(x2) !
VALIDATION 2500: PRED: the small square to the right of the small hexagon| SIT: ^ sm1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) ye1(x2) sq1(x2) !
VALIDATION 2600: PRED: the medium circle to the left of the small hexagon| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) gr1(x2) he1(x2) !
VALIDATION 2700: PRED: the small square to the right of the small star| SIT: ^ sm1(x1) or1(x1) st1(x1) ab2(x1,x2) bi1(x2) or1(x2) sq1(x2) !
VALIDATION 2800: PRED: the medium square to the right of the medium ellipse| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) sq1(x2) !
VALIDATION 2900: PRED: the big circle to the right of the big circle| SIT: ^ bi1(x1) bl1(x1) ci1(x1) ab2(x1,x2) sm1(x2) bl1(x2) ci1(x2) !
VALIDATION 3000: PRED: the big star to the right of the big triangle| SIT: ^ bi1(x1) re1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 3100: PRED: the big triangle to the right of the big triangle| SIT: ^ bi1(x1) pu1(x1) tr1(x1) le2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 3200: PRED: the big hexagon above the ellipse| SIT: ^ bi1(x1) bl1(x1) he1(x1) le2(x1,x2) me1(x2) bl1(x2) el1(x2) !
VALIDATION 3300: PRED: the small circle to the left of the medium star| SIT: ^ sm1(x1) ye1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 3400: PRED: the small star to the right of the small hexagon| SIT: ^ sm1(x1) pu1(x1) he1(x1) ab2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 3500: PRED: the medium hexagon to the right of the medium ellipse| SIT: ^ me1(x1) pu1(x1) el1(x1) ab2(x1,x2) sm1(x2) ye1(x2) he1(x2) !
VALIDATION 3600: PRED: the small triangle to the left of the small square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3700: PRED: the medium circle below the medium ellipse| SIT: ^ me1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) ye1(x2) ci1(x2) !
VALIDATION 3800: PRED: the small square to the right of the small star| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) bi1(x2) bl1(x2) sq1(x2) !
VALIDATION 3900: PRED: the medium circle to the right of the medium hexagon| SIT: ^ me1(x1) pu1(x1) he1(x1) le2(x1,x2) bi1(x2) re1(x2) ci1(x2) !
VALIDATION 4000: PRED: the small triangle to the left of the small square| SIT: ^ sm1(x1) ye1(x1) tr1(x1) ab2(x1,x2) sm1(x2) pu1(x2) sq1(x2) !
VALIDATION 4100: PRED: the big circle below the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) bl1(x2) ci1(x2) !
VALIDATION 4200: PRED: the medium hexagon to the right of the medium ellipse| SIT: ^ me1(x1) gr1(x1) el1(x1) ab2(x1,x2) bi1(x2) or1(x2) he1(x2) !
VALIDATION 4300: PRED: the small star to the right of the small hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) bi1(x2) gr1(x2) st1(x2) !
VALIDATION 4400: PRED: the star to the right of the medium circle| SIT: ^ me1(x1) re1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) st1(x2) !
VALIDATION 4500: PRED: the big circle to the right of the big circle| SIT: ^ bi1(x1) re1(x1) ci1(x1) le2(x1,x2) sm1(x2) ye1(x2) ci1(x2) !
VALIDATION 4600: PRED: the medium triangle below the medium ellipse| SIT: ^ me1(x1) gr1(x1) el1(x1) le2(x1,x2) sm1(x2) or1(x2) tr1(x2) !
VALIDATION 4700: PRED: the small circle to the left of the circle| SIT: ^ sm1(x1) bl1(x1) ci1(x1) ab2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 4800: PRED: the small square to the right of the small ellipse| SIT: ^ sm1(x1) or1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) sq1(x2) !
VALIDATION 4900: PRED: the small star to the left of the ellipse| SIT: ^ sm1(x1) bl1(x1) st1(x1) le2(x1,x2) sm1(x2) or1(x2) el1(x2) !
TRAIN 10600: PRED: the circle circle above the left of the medium purple | SIT: ^ me1(x1) re1(x1) ci1(x1) le2(x1,x2) sm1(x2) ye1(x2) st1(x2) ! | FEEDBACK: the red circle to the left of the small star !
TRAIN 10700: PRED: the hexagon hexagon to the left of the small hexagon | SIT: ^ bi1(x1) or1(x1) he1(x1) le2(x1,x2) bi1(x2) re1(x2) he1(x2) ! | FEEDBACK: the big hexagon to the left of the big hexagon !
TRAIN 10800: PRED: the big ellipse below the right of the ellipse ellipse | SIT: ^ bi1(x1) gr1(x1) el1(x1) le2(x1,x2) bi1(x2) bl1(x2) ci1(x2) ! | FEEDBACK: the big circle to the right of the green ellipse !
TRAIN 10900: PRED: the big triangle below the big triangle | SIT: ^ bi1(x1) pu1(x1) tr1(x1) ab2(x1,x2) me1(x2) re1(x2) sq1(x2) ! | FEEDBACK: the medium square below the big triangle !
TRAIN 11000: PRED: the medium circle below the right of the medium | SIT: ^ me1(x1) re1(x1) he1(x1) le2(x1,x2) bi1(x2) or1(x2) ci1(x2) ! | FEEDBACK: the big circle to the right of the hexagon !
VALIDATION 0: PRED: the ellipse to the left of the hexagon| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) sm1(x2) bl1(x2) he1(x2) !
VALIDATION 100: PRED: the small circle below the small square| SIT: ^ sm1(x1) re1(x1) sq1(x1) le2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 200: PRED: the small star below the small square| SIT: ^ sm1(x1) or1(x1) sq1(x1) ab2(x1,x2) sm1(x2) pu1(x2) st1(x2) !
VALIDATION 300: PRED: the small circle below the small triangle| SIT: ^ sm1(x1) ye1(x1) tr1(x1) le2(x1,x2) sm1(x2) or1(x2) ci1(x2) !
VALIDATION 400: PRED: the medium star to the left of the hexagon| SIT: ^ me1(x1) gr1(x1) st1(x1) ab2(x1,x2) me1(x2) pu1(x2) he1(x2) !
VALIDATION 500: PRED: the ellipse to the left of the circle| SIT: ^ bi1(x1) gr1(x1) el1(x1) le2(x1,x2) me1(x2) ye1(x2) ci1(x2) !
VALIDATION 600: PRED: the ellipse to the left of the circle| SIT: ^ bi1(x1) bl1(x1) el1(x1) ab2(x1,x2) bi1(x2) pu1(x2) ci1(x2) !
VALIDATION 700: PRED: the small star to the left of the hexagon| SIT: ^ sm1(x1) re1(x1) st1(x1) le2(x1,x2) me1(x2) or1(x2) he1(x2) !
VALIDATION 800: PRED: the big circle below the big hexagon| SIT: ^ bi1(x1) or1(x1) he1(x1) ab2(x1,x2) bi1(x2) bl1(x2) ci1(x2) !
VALIDATION 900: PRED: the big square to the left of the ellipse| SIT: ^ bi1(x1) pu1(x1) sq1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1000: PRED: the ellipse below the big hexagon| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) bi1(x2) or1(x2) el1(x2) !
VALIDATION 1100: PRED: the medium square to the right of the medium square| SIT: ^ me1(x1) bl1(x1) sq1(x1) ab2(x1,x2) bi1(x2) ye1(x2) he1(x2) !
VALIDATION 1200: PRED: the ellipse below the big circle| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) ye1(x2) el1(x2) !
VALIDATION 1300: PRED: the small star below the big hexagon| SIT: ^ bi1(x1) ye1(x1) he1(x1) ab2(x1,x2) sm1(x2) ye1(x2) st1(x2) !
VALIDATION 1400: PRED: the big star to the left of the ellipse| SIT: ^ bi1(x1) or1(x1) st1(x1) le2(x1,x2) bi1(x2) gr1(x2) el1(x2) !
VALIDATION 1500: PRED: the ellipse below the big ellipse| SIT: ^ bi1(x1) or1(x1) el1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 1600: PRED: the small star to the left of the ellipse| SIT: ^ sm1(x1) pu1(x1) st1(x1) le2(x1,x2) me1(x2) re1(x2) el1(x2) !
VALIDATION 1700: PRED: the medium star below the medium circle| SIT: ^ me1(x1) ye1(x1) ci1(x1) le2(x1,x2) me1(x2) pu1(x2) st1(x2) !
VALIDATION 1800: PRED: the ellipse below the big circle| SIT: ^ bi1(x1) ye1(x1) ci1(x1) le2(x1,x2) bi1(x2) re1(x2) el1(x2) !
VALIDATION 1900: PRED: the medium star to the left of the ellipse| SIT: ^ me1(x1) re1(x1) st1(x1) le2(x1,x2) bi1(x2) pu1(x2) el1(x2) !
VALIDATION 2000: PRED: the small hexagon to the left of the hexagon| SIT: ^ sm1(x1) re1(x1) he1(x1) le2(x1,x2) me1(x2) gr1(x2) he1(x2) !
VALIDATION 2100: PRED: the ellipse to the left of the circle| SIT: ^ sm1(x1) bl1(x1) el1(x1) le2(x1,x2) me1(x2) or1(x2) ci1(x2) !
